TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.274,0,0,0,0,0.8555,0.9955,0
100,0.304,0,0,0,0,0.8605,0.9955,0
200,0.3305,0,0,0,0,0.865,0.9955,0
300,0.36,0.0215,0,0,0,0.8695,0.9955,0
400,0.393,0.861,0,0,0,0.874,0.9955,0
500,0.4295,0.9735,0.002,0,0,0.8785,0.996,0
600,0.461,0.992,0.002,0,0,0.8795,0.996,0
700,0.493,0.9995,0.0025,0,5e-4,0.885,0.996,0
800,0.526,1,0.0025,0,0.002,0.8905,0.997,0
900,0.5595,1,0.0025,0,0.0025,0.8945,0.997,0
1000,0.5885,1,0.0025,0,0.004,0.897,0.997,0
1100,0.6135,1,0.0025,0,0.007,0.8995,0.9975,0.001
1200,0.6385,1,0.0025,0,0.0105,0.903,0.9975,0.01
1300,0.66,1,0.003,0,0.015,0.906,0.9975,0.036
1400,0.6785,1,0.003,0,0.022,0.9085,0.998,0.0925
1500,0.6955,1,0.003,0,0.032,0.91,0.9985,0.1875
1600,0.716,1,0.003,0,0.041,0.912,0.9985,0.316
1700,0.732,1,0.0035,0,0.056,0.9155,0.9985,0.449
1800,0.7465,1,0.0045,0,0.069,0.917,0.9985,0.5795
1900,0.76,1,0.006,0,0.086,0.9195,0.9985,0.687
2000,0.7715,1,0.006,0,0.109,0.9225,0.9985,0.771
2100,0.7845,1,0.0065,0,0.1265,0.924,0.9985,0.846
2200,0.797,1,0.007,0,0.1535,0.927,0.9985,0.8955
2300,0.8095,1,0.008,0,0.1835,0.9285,0.9985,0.9265
2400,0.819,1,0.0095,0,0.208,0.932,0.9985,0.951
2500,0.8305,1,0.011,0,0.234,0.9335,0.9985,0.964
2600,0.843,1,0.0125,0,0.266,0.936,0.9995,0.9755
2700,0.855,1,0.014,0,0.3015,0.939,0.9995,0.979
2800,0.858,1,0.017,0,0.3355,0.9405,0.9995,0.984
2900,0.866,1,0.018,0,0.3735,0.943,0.9995,0.988
3000,0.874,1,0.019,0,0.4085,0.945,0.9995,0.991
